"","Meaning","NineEnd","Age"
"1501",2,0,38
"1502",,1,59
"1503",2,0,36
"1504",4,1,39
"1505",4,0,33
"1507",4,0,28
"1508",,1,49
"1510",,1,39
"1511",,0,30
"1514",4,0,46
"1516",4,0,41
"1518",2,0,60
"1519",2,0,52
"1520",4,0,34
"1522",,0,30
"1523",4,0,34
"1524",,0,30
"1526",,0,58
"1527",,0,33
"1529",,0,41
"1530",4,0,47
"1531",4,1,39
"1532",,0,31
"1533",,0,48
"1534",,0,41
"1535",4,0,58
"1536",,0,41
"1537",,0,31
"1539",,0,34
"1540",4,0,58
"1542",2,0,28
"1543",4,0,51
"1544",,0,26
"1545",,1,49
"1546",,0,31
"1547",,0,36
"1548",2,0,48
"1549",4,0,41
"1550",,0,28
"1551",,0,46
"1552",,0,47
"1553",4,0,55
"1554",,1,29
"1556",2,0,63
"1557",4,0,63
"1558",4,0,61
"1559",4,0,46
"1560",2,0,30
"1561",4,0,34
"1562",,0,30
"1563",,0,32
"1564",2,0,48
"1565",,0,60
"1566",,0,43
"1567",,0,37
"1568",2,0,60
"1569",,0,27
"1571",4,0,34
"1572",4,0,25
"1574",2,0,32
"1575",,0,53
"1576",2,0,36
"1578",,0,35
"1580",4,0,27
"1581",,1,39
"1583",2,0,34
"1584",4,0,45
"1585",2,0,33
"1587",2,0,50
"1588",,0,37
"1589",,0,36
"1590",4,0,26
"1591",,0,36
"1592",4,1,59
"1594",4,0,25
"1595",4,0,35
"1597",,1,39
"1598",,0,38
"1599",4,1,29
"1600",,0,50
"1601",2,0,50
"1602",,0,43
"1603",4,0,30
"1605",4,1,29
"1606",4,0,33
"1607",4,0,26
"1608",,0,58
"1609",1,0,48
"1612",,0,35
"1613",4,0,33
"1614",4,0,61
"1615",,0,44
"1616",4,0,30
"1617",4,0,35
"1618",4,0,63
"1619",4,0,53
"1620",,0,28
"1621",,0,52
"1622",4,0,34
"1623",4,0,45
"1624",,0,41
"1627",1,0,58
"1628",4,0,61
"1629",,1,59
"1630",,1,49
"1631",,0,55
"1632",,0,32
"1633",,0,60
"1634",4,0,64
"1635",,0,51
"1636",,0,60
"1637",4,0,46
"1638",4,0,32
"1639",,0,45
"1640",2,0,57
"1641",1,0,50
"1643",2,1,39
"1644",1,0,41
"1645",4,1,39
"1646",4,0,25
"1647",4,0,33
"1649",,0,25
"1650",,0,34
"1651",4,0,60
"1652",,0,26
"1653",2,0,44
"1654",,0,33
"1655",,0,51
"1657",,0,35
"1658",,0,41
"1659",,0,57
"1660",,0,61
"1661",,0,50
"1662",,0,25
"1663",2,0,36
"1664",,0,47
"1665",,0,56
"1667",4,0,30
"1668",4,1,59
"1669",4,0,40
"1670",,0,31
"1672",,0,36
"1673",,0,41
"1674",4,0,54
"1675",1,0,33
"1676",4,0,37
"1677",4,0,40
"1678",4,1,39
"1679",4,0,62
"1680",4,1,59
"1681",,0,54
"1683",,0,47
"1684",,0,54
"1686",,0,50
"1687",4,0,32
"1688",4,0,27
"1689",,0,33
"1690",,0,53
"1692",,0,40
"1693",2,0,44
"1694",,0,33
"1695",,0,57
"1696",2,0,48
"1697",1,0,34
"1698",2,0,58
"1699",2,0,61
"1700",2,0,41
"1701",,0,47
"1702",,0,61
"1703",2,0,46
"1704",,0,61
"1705",4,0,35
"1706",4,0,58
"1707",4,0,51
"1708",,0,62
"1709",4,0,60
"1710",1,0,36
"1711",4,0,27
"1712",2,0,62
"1713",,0,54
"1714",,0,57
"1715",4,0,51
"1716",2,0,57
"1717",2,0,34
"1718",,0,33
"1719",2,0,55
"1720",,0,41
"1721",4,1,49
"1722",,0,57
"1723",2,0,48
"1724",2,0,47
"1725",,0,30
"1726",,0,35
"1727",,0,33
"1728",4,0,32
"1729",4,0,28
"1730",,0,26
"1731",4,1,49
"1732",2,0,27
"1734",,0,33
"1735",4,0,26
"1736",4,1,39
"1738",,0,50
"1739",,0,31
"1740",,1,39
"1741",,1,49
"1742",2,0,50
"1743",,0,28
"1744",,0,42
"1745",,0,37
"1746",4,0,43
"1748",4,1,29
"1749",1,0,27
"1750",1,0,51
"1752",4,0,38
"1753",4,0,25
"1756",4,0,43
"1757",,0,25
"1758",,0,44
"1759",,1,39
"1760",2,0,60
"1761",4,0,32
"1762",2,0,51
"1763",4,0,51
